query_id,bm25_ndcg@10,relevant,can_move,cross-encoder,jev-score
PLAIN-430,0.5974004989549763,3,True,-0.0923,-0.1248
PLAIN-44,0.0,2,True,0.1623,0.1411
PLAIN-441,0.9649970362857294,5,True,-0.1025,-0.1801
PLAIN-457,0.0,0,False,0.0,0.0
PLAIN-468,0.2406871186625798,3,True,0.0612,0.2452
PLAIN-478,0.0,0,False,0.0,0.0
PLAIN-488,0.933745776545611,11,True,-0.0032,-0.0121
PLAIN-499,0.4690000933206748,3,True,-0.0943,-0.2895
PLAIN-510,0.0,0,False,0.0,0.0
PLAIN-520,0.0,0,False,0.0,0.0
PLAIN-531,0.3183191637810562,5,True,-0.0281,-0.1388
PLAIN-541,0.32665167016610913,3,True,-0.045,0.2147
PLAIN-551,0.0,0,False,0.0,0.0
PLAIN-56,0.6968732710362916,5,True,-0.0664,-0.1115
PLAIN-561,0.3589542101716347,2,True,0.0,0.0
PLAIN-571,0.2558209594125084,2,True,0.0,-0.012
PLAIN-583,0.0,0,False,0.0,0.0
PLAIN-593,0.46927872602275644,1,True,0.0,0.0
PLAIN-603,0.0,0,False,0.0,0.0
PLAIN-613,0.06362078819895171,1,True,0.1565,0.0312
PLAIN-623,0.2489083270225946,2,True,0.0,0.0
PLAIN-634,0.13886244387355454,1,True,0.0812,0.0812
PLAIN-645,0.0,0,False,0.0,0.0
PLAIN-660,1.0,17,True,0.0,0.0
PLAIN-671,1.0,1,True,0.0,0.0
PLAIN-68,0.425035080064741,2,True,-0.0643,0.0496
PLAIN-681,1.0,1,True,0.0,0.0
PLAIN-691,0.0,0,False,0.0,0.0
PLAIN-701,0.361879195385413,2,True,0.0507,0.0507
PLAIN-711,0.22009176629808017,1,True,0.0,0.0
PLAIN-721,1.0,18,True,0.0,0.0
PLAIN-731,0.7909506325094737,10,True,-0.142,-0.1038
PLAIN-741,0.84860265890399,8,True,0.0026,-0.0223
PLAIN-751,0.0,0,False,0.0,0.0
PLAIN-761,0.15130120674940672,1,True,0.0396,-0.021
PLAIN-771,1.0,3,True,0.0,0.0
PLAIN-78,0.12741733550370724,1,True,-0.047,-0.0781
PLAIN-782,0.0,0,False,0.0,0.0
PLAIN-792,0.644824486427155,3,True,0.0,0.0
PLAIN-806,0.857980942822373,14,True,0.0784,0.142
PLAIN-817,0.0,0,False,0.0,0.0
PLAIN-827,0.43808927588501717,12,True,0.313,0.325
PLAIN-838,0.8550956239938448,7,True,0.0,0.0
PLAIN-850,0.6489315753318465,5,True,0.0,0.0
PLAIN-872,0.0,0,False,0.0,0.0
PLAIN-882,0.3589542101716347,2,True,0.0,0.0
PLAIN-892,0.727329844310522,6,True,0.0,0.0
PLAIN-902,0.6366824387328317,2,True,-0.0511,0.0
PLAIN-91,0.17653239837139892,3,True,0.0,0.1919
PLAIN-913,0.933745776545611,9,True,-0.1331,-0.0694
PLAIN-924,0.22009176629808017,1,True,0.0,0.0
PLAIN-934,0.7975167679274937,14,True,-0.1971,-0.1818
PLAIN-946,0.31488013066763093,2,True,-0.066,0.0441
PLAIN-956,0.3882047626431879,10,True,0.1631,0.0666
PLAIN-966,0.14126697285982898,1,True,-0.1413,-0.1413
PLAIN-977,0.14126697285982898,1,True,0.0068,0.328
PLAIN-987,0.23463936301137822,1,True,-0.2346,0.0614
PLAIN-997,0.0,0,False,0.0,0.0
